wine_type,wine_category,food_item,food_category,cuisine,pairing_quality,quality_label,description,pair label,category pair,cuisine quality
Syrah/Shiraz,Red,Smoked Sausage,Smoky Bbq,Spanish,2,Poor,Heuristic Pairing Assessment.,Syrah/Shiraz with Smoked Sausage,Red - Smoky Bbq,Spanish (Poor)
Grenache,Red,Charcuterie Board,Salty Snack,French,3,Neutral,Heuristic Pairing Assessment.,Grenache with Charcuterie Board,Red - Salty Snack,French (Neutral)
Madeira,Fortified,Lemon Tart,Dessert,French,4,Good,Acidic Wine Balances Acidic Food.,Madeira with Lemon Tart,Fortified - Dessert,French (Good)
Cabernet Sauvignon,Red,Roast Lamb,Red Meat,Mexican,5,Excellent,Tannic Red Complements Red Meat Fat.,Cabernet Sauvignon with Roast Lamb,Red - Red Meat,Mexican (Excellent)
Viognier,White,Duck À L’Orange,Poultry,Vietnamese,2,Poor,Heuristic Pairing Assessment.,Viognier with Duck À L’Orange,White - Poultry,Vietnamese (Poor)
Pinot Noir,Red,Citrus Salad,Acidic,Argentinian,4,Good,Acidic Wine Balances Acidic Food.,Pinot Noir with Citrus Salad,Red - Acidic,Argentinian (Good)
Albariño,White,Oysters,Seafood,Vietnamese,4,Good,Crisp Acidity Suits Seafood.,Albariño with Oysters,White - Seafood,Vietnamese (Good)
Sangiovese,Red,Citrus Salad,Acidic,Moroccan,4,Good,Acidic Wine Balances Acidic Food.,Sangiovese with Citrus Salad,Red - Acidic,Moroccan (Good)
Grüner Veltliner,White,Citrus Salad,Acidic,American Bbq,4,Good,Acidic Wine Balances Acidic Food.,Grüner Veltliner with Citrus Salad,White - Acidic,American Bbq (Good)
Sauternes,Dessert,Lemon Tart,Dessert,Spanish,4,Good,Acidic Wine Balances Acidic Food.; Sweet/Sparkling Pairs With Dessert.,Sauternes with Lemon Tart,Dessert - Dessert,Spanish (Good)
Cava,Sparkling,Charcuterie Board,Salty Snack,Italian,3,Neutral,Heuristic Pairing Assessment.,Cava with Charcuterie Board,Sparkling - Salty Snack,Italian (Neutral)
Riesling (Dry),White,Thai Curry,Spicy,Mexican,3,Neutral,Heuristic Pairing Assessment.,Riesling (Dry) with Thai Curry,White - Spicy,Mexican (Neutral)
Chardonnay,White,Bacon Burger,Pork,Vietnamese,2,Poor,Heuristic Pairing Assessment.,Chardonnay with Bacon Burger,White - Pork,Vietnamese (Poor)
Nebbiolo,Red,Thai Curry,Spicy,American Bbq,3,Neutral,Heuristic Pairing Assessment.,Nebbiolo with Thai Curry,Red - Spicy,American Bbq (Neutral)
Port,Fortified,Cheesecake,Dessert,Middle Eastern,3,Neutral,Heuristic Pairing Assessment.,Port with Cheesecake,Fortified - Dessert,Middle Eastern (Neutral)
Ice Wine,Dessert,Roast Chicken With Herbs,Poultry,German,2,Poor,Heavy Wine Can Dominate Poultry.,Ice Wine with Roast Chicken With Herbs,Dessert - Poultry,German (Poor)
Gewürztraminer,White,Indian Vindaloo,Spicy,Thai,3,Neutral,Heuristic Pairing Assessment.,Gewürztraminer with Indian Vindaloo,White - Spicy,Thai (Neutral)
Merlot,Red,Bacon Burger,Pork,Thai,3,Neutral,Heuristic Pairing Assessment.,Merlot with Bacon Burger,Red - Pork,Thai (Neutral)
Champagne,Sparkling,Shrimp Scampi,Seafood,French,4,Good,Crisp Acidity Suits Seafood.,Champagne with Shrimp Scampi,Sparkling - Seafood,French (Good)
Torrontés,White,Thai Curry,Spicy,Moroccan,3,Neutral,Heuristic Pairing Assessment.,Torrontés with Thai Curry,White - Spicy,Moroccan (Neutral)
Sauvignon Blanc,White,Mushroom Risotto,Vegetarian,American Bbq,4,Good,Heuristic Pairing Assessment.,Sauvignon Blanc with Mushroom Risotto,White - Vegetarian,American Bbq (Good)
Malbec,Red,Grilled Burger,Smoky Bbq,Greek,2,Poor,Heuristic Pairing Assessment.,Malbec with Grilled Burger,Red - Smoky Bbq,Greek (Poor)
Zinfandel,Red,Bbq Ribs,Smoky Bbq,Moroccan,3,Neutral,Heuristic Pairing Assessment.,Zinfandel with Bbq Ribs,Red - Smoky Bbq,Moroccan (Neutral)
Barbera,Red,Mac And Cheese,Cheese,Greek,4,Good,Heuristic Pairing Assessment.,Barbera with Mac And Cheese,Red - Cheese,Greek (Good)
Chenin Blanc,White,Fondue,Cheese,Middle Eastern,3,Neutral,Heuristic Pairing Assessment.,Chenin Blanc with Fondue,White - Cheese,Middle Eastern (Neutral)
Provence Rosé,Rosé,Grilled Ribeye,Red Meat,Thai,5,Excellent,Idealized Perfect Pairing Example For Contrast.,Provence Rosé with Grilled Ribeye,Rosé - Red Meat,Thai (Excellent)
Gamay (Beaujolais),Red,Oysters,Seafood,Greek,2,Poor,Tannic Reds Clash With Delicate Seafood.,Gamay (Beaujolais) with Oysters,Red - Seafood,Greek (Poor)
Tempranillo,Red,Fondue,Cheese,French,2,Poor,Heuristic Pairing Assessment.,Tempranillo with Fondue,Red - Cheese,French (Poor)
White Zinfandel,Rosé,Bbq Brisket,Red Meat,Mexican,5,Excellent,Idealized Perfect Pairing Example For Contrast.,White Zinfandel with Bbq Brisket,Rosé - Red Meat,Mexican (Excellent)
